elevator,reason,out_of_service,first_missed,estimated_return,difference (min),duration (min)
EL226,Repair,Wed Mar 21 2018 01:02:00 GMT-0400 (EDT),Wed Mar 21 2018 03:22:08 GMT-0400 (EDT),Wed Mar 21 2018 08:00:00 GMT-0400 (EDT),-277.85128333333336,140.14871666666667
EL195,Repair,Tue Mar 20 2018 23:59:00 GMT-0400 (EDT),Wed Mar 21 2018 00:13:08 GMT-0400 (EDT),Wed Mar 21 2018 08:00:00 GMT-0400 (EDT),-466.8548666666667,14.145133333333332
EL709,Under Investigation,Tue Mar 20 2018 23:31:00 GMT-0400 (EDT),Wed Mar 21 2018 01:46:07 GMT-0400 (EDT),Wed Mar 21 2018 08:00:00 GMT-0400 (EDT),-373.8726,135.1274
EL338,Inspection,Wed Mar 21 2018 06:30:00 GMT-0400 (EDT),Wed Mar 21 2018 10:06:08 GMT-0400 (EDT),Wed Mar 21 2018 09:00:00 GMT-0400 (EDT),66.13798333333334,216.13798333333335
EL421,Under Investigation,Wed Mar 21 2018 00:15:00 GMT-0400 (EDT),Wed Mar 21 2018 09:26:08 GMT-0400 (EDT),Wed Mar 21 2018 09:00:00 GMT-0400 (EDT),26.148616666666666,551.1486166666667
EL195,Repair,Wed Mar 21 2018 00:16:00 GMT-0400 (EDT),Wed Mar 21 2018 00:27:08 GMT-0400 (EDT),Wed Mar 21 2018 09:00:00 GMT-0400 (EDT),-512.8542333333334,11.145766666666667
EL104,Under Investigation,Wed Mar 21 2018 00:03:00 GMT-0400 (EDT),Wed Mar 21 2018 03:42:09 GMT-0400 (EDT),Wed Mar 21 2018 09:00:00 GMT-0400 (EDT),-317.8443,219.1557
EL216,Inspection,Wed Mar 21 2018 06:00:00 GMT-0400 (EDT),Wed Mar 21 2018 10:40:08 GMT-0400 (EDT),Wed Mar 21 2018 09:30:00 GMT-0400 (EDT),70.13505,280.13505
EL301,Maintenance,Wed Mar 21 2018 08:09:00 GMT-0400 (EDT),Wed Mar 21 2018 10:38:09 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),38.15233333333333,149.15233333333333
EL314,Maintenance,Wed Mar 21 2018 07:32:00 GMT-0400 (EDT),Wed Mar 21 2018 10:04:07 GMT-0400 (EDT),Wed Mar 21 2018 10:00:00 GMT-0400 (EDT),4.131116666666666,152.13111666666666
